2166,Alex White,"Elegance is not the abundance of simplicity. It is the absence of complexity.
",https://quotesondesign.com/alex-white/
2163,Zuzana Licko,"We read best what we read most.
",https://quotesondesign.com/zuzana-licko/
2161,Steve Krug,"Don’t let your design resist your readers. Don’t let it stand in the way of what they want to do: read.
",https://quotesondesign.com/steve-krug-4/
2158,Chris Anderson,"Easy is not to be underestimated. Easy taps the pool of talent and ideas out there that were turned off by hard.
",https://quotesondesign.com/chris-anderson-3/
2155,Samadara Ginige,"Why expect spec work from a graphic designer when you don&#8217;t expect the same from a dentist?
",https://quotesondesign.com/samadara-ginige/
2153,Daniel Burka,"Wonderfully designed > beautifully designed. Any day.
",https://quotesondesign.com/daniel-burka-2/
2151,Braden Kowitz,"It’s not uncommon for designers to confuse a beautiful looking product with one that works beautifully.
",https://quotesondesign.com/braden-kowitz/
2149,Aaron Schwartz,"Be curious. Read widely. Try new things. I think a lot of what people call intelligence boils down to curiosity. 
",https://quotesondesign.com/aaron-schwartz/
2147,Walker Evans,"Stare. It is the way to educate your eye, and more. Stare, pry, listen, eavesdrop. Die knowing something. You are not here long.
",https://quotesondesign.com/walker-evans/
2145,John Underkoffler,"Design is crucially important. We can&#8217;t have advances in technology any longer, unless design is integrated from the very start.
",https://quotesondesign.com/john-underkoffler/
2142,Lisa Manson,"A graphic designer is a machine that turns coffee into beautiful, functional imagery.
",https://quotesondesign.com/lisa-manson-2/
2140,Brian Eno,"Instead of shooting arrows at somebody else&#8217;s target&#8230; I make my own target around wherever my arrow has happened to have landed.
",https://quotesondesign.com/brian-eno/
2139,Marshall McLuhan,"The medium is the message.
",https://quotesondesign.com/marshall-mcluhan/
2137,Steve McGarry,"As long as there are people, there will be user experience, and user interface designers.
",https://quotesondesign.com/steve-mcgarry/
2135,Scott Adams,"Ideas are worthless. Execution is everything.
",https://quotesondesign.com/scott-adams-3/
2132,Wihan Meerholz,"Tell it like it is, in a way they want to hear it.
",https://quotesondesign.com/wihan-meerholz/
2130,Tom Bissel,"To create anything&#8211;whether a short story or a magazine profile or a film or a sitcom&#8211;is to believe, if only momentarily, you are capable of magic.
",https://quotesondesign.com/tom-bissel/
2128,Charles Eames,"Never let the blood show.
",https://quotesondesign.com/charles-eames-3/
2126,Bob Ross,"Talent is a pursued interest. In other words, anything you are willing to practice, you can do. 
",https://quotesondesign.com/bob-ross/
2124,Lisa Manson,"If you want a quick logo that has no research, brand definition or storytelling as part of its development, then you are buying ART not DESIGN. Design creates connections.
",https://quotesondesign.com/lisa-manson/
2122,Karen McGrane,"Give a crap. Don’t give a fuck.
",https://quotesondesign.com/karen-mcgrane-2/
2120,Jessica Hische,"Every new thing you make will be (should be) the nicest thing you&#8217;ve made so far, because you’re learning and getting better with each and every new project.
",https://quotesondesign.com/jessica-hische-3/
